塔河	101050702	大兴安岭	07	黑龙江	10105
漠河	101050703	大兴安岭	07	黑龙江	10105
呼玛	101050704	大兴安岭	07	黑龙江	10105
呼中	101050705	大兴安岭	07	黑龙江	10105
新林	101050706	大兴安岭	07	黑龙江	10105
加格达奇	101050708	大兴安岭	07	黑龙江	10105
伊春	101050801	伊春	08	黑龙江	10105
乌伊岭	101050802	伊春	08	黑龙江	10105
五营	101050803	伊春	08	黑龙江	10105
铁力	101050804	伊春	08	黑龙江	10105
嘉荫	101050805	伊春	08	黑龙江	10105
大庆	101050901	大庆	09	黑龙江	10105
林甸	101050902	大庆	09	黑龙江	10105
肇州	101050903	大庆	09	黑龙江	10105
肇源	101050904	大庆	09	黑龙江	10105
杜尔伯特	101050905	大庆	09	黑龙江	10105
长春	101060101	长春	01	吉林	10106
农安	101060102	长春	01	吉林	10106
德惠	101060103	长春	01	吉林	10106
九台	101060104	长春	01	吉林	10106
榆树	101060105	长春	01	吉林	10106
双阳	101060106	长春	01	吉林	10106
吉林	101060201	吉林	02	吉林	10106
舒兰	101060202	吉林	02	吉林	10106
永吉	101060203	吉林	02	吉林	10106
蛟河	101060204	吉林	02	吉林	10106
磐石	101060205	吉林	02	吉林	10106
桦甸	101060206	吉林	02	吉林	10106
延吉	101060301	延边	03	吉林	10106
敦化	101060302	延边	03	吉林	10106
安图	101060303	延边	03	吉林	10106
汪清	101060304	延边	03	吉林	10106
和龙	101060305	延边	03	吉林	10106
龙井	101060307	延边	03	吉林	10106
珲春	101060308	延边	03	吉林	10106
图们	101060309	延边	03	吉林	10106
四平	101060401	四平	04	吉林	10106
双辽	101060402	四平	04	吉林	10106
梨树	101060403	四平	04	吉林	10106
公主岭	101060404	四平	04	吉林	10106
伊通	101060405	四平	04	吉林	10106
通化	101060501	通化	05	吉林	10106
梅河口	101060502	通化	05	吉林	10106
柳河	101060503	通化	05	吉林	10106
辉南	101060504	通化	05	吉林	10106
集安	101060505	通化	05	吉林	10106
通化县	101060506	通化	05	吉林	10106
白城	101060601	白城	06	吉林	10106
洮南	101060602	白城	06	吉林	10106
大安	101060603	白城	06	吉林	10106
镇赉	101060604	白城	06	吉林	10106
通榆	101060605	白城	06	吉林	10106
辽源	101060701	辽源	07	吉林	10106
东丰	101060702	辽源	07	吉林	10106
东辽	101060703	辽源	07	吉林	10106
松原	101060801	松原	08	吉林	10106
乾安	101060802	松原	08	吉林	10106
前郭	101060803	松原	08	吉林	10106
长岭	101060804	松原	08	吉林	10106
扶余	101060805	松原	08	吉林	10106
白山	101060901	白山	09	吉林	10106
靖宇	101060902	白山	09	吉林	10106
临江	101060903	白山	09	吉林	10106
东岗	101060904	白山	09	吉林	10106
长白	101060905	白山	09	吉林	10106
抚松	101060906	白山	09	吉林	10106
江源	101060907	白山	09	吉林	10106
辽阳	101071001	辽阳	10	辽宁	10107
辽阳县	101071002	辽阳	10	辽宁	10107
灯塔	101071003	辽阳	10	辽宁	10107
弓长岭	101071004	辽阳	10	辽宁	10107
铁岭	101071101	铁岭	11	辽宁	10107
开原	101071102	铁岭	11	辽宁	10107
昌图	101071103	铁岭	11	辽宁	10107
西丰	101071104	铁岭	11	辽宁	10107
调兵山	101071105	铁岭	11	辽宁	10107
朝阳	101071201	朝阳	12	辽宁	10107
凌源	101071203	朝阳	12	辽宁	10107
喀左	101071204	朝阳	12	辽宁	10107
北票	101071205	朝阳	12	辽宁	10107
建平县	101071207	朝阳	12	辽宁	10107
盘锦	101071301	盘锦	13	辽宁	10107
大洼	101071302	盘锦	13	辽宁	10107
盘山	101071303	盘锦	13	辽宁	10107
葫芦岛	101071401	葫芦岛	14	辽宁	10107
建昌	101071402	葫芦岛	14	辽宁	10107
绥中	101071403	葫芦岛	14	辽宁	10107
兴城	101071404	葫芦岛	14	辽宁	10107
沈阳	101070101	沈阳	01	辽宁	10107
辽中	101070103	沈阳	01	辽宁	10107
康平	101070104	沈阳	01	辽宁	10107
法库	101070105	沈阳	01	辽宁	10107
新民	101070106	沈阳	01	辽宁	10107
大连	101070201	大连	02	辽宁	10107
瓦房店	101070202	大连	02	辽宁	10107
金州	101070203	大连	02	辽宁	10107
普兰店	101070204	大连	02	辽宁	10107
旅顺	101070205	大连	02	辽宁	10107
长海	101070206	大连	02	辽宁	10107
庄河	101070207	大连	02	辽宁	10107
鞍山	101070301	鞍山	03	辽宁	10107
台安	101070302	鞍山	03	辽宁	10107
岫岩	101070303	鞍山	03	辽宁	10107
海城	101070304	鞍山	03	辽宁	10107
抚顺	101070401	抚顺	04	辽宁	10107
新宾	101070402	抚顺	04	辽宁	10107
清原	101070403	抚顺	04	辽宁	10107
章党	101070404	抚顺	04	辽宁	10107
本溪	101070501	本溪	05	辽宁	10107
本溪县	101070502	本溪	05	辽宁	10107
桓仁	101070504	本溪	05	辽宁	10107
丹东	101070601	丹东	06	辽宁	10107
凤城	101070602	丹东	06	辽宁	10107
宽甸	101070603	丹东	06	辽宁	10107
东港	101070604	丹东	06	辽宁	10107
锦州	101070701	锦州	07	辽宁	10107
凌海	101070702	锦州	07	辽宁	10107
义县	101070704	锦州	07	辽宁	10107
黑山	101070705	锦州	07	辽宁	10107
北镇	101070706	锦州	07	辽宁	10107
营口	101070801	营口	08	辽宁	10107
大石桥	101070802	营口	08	辽宁	10107
盖州	101070803	营口	08	辽宁	10107
阜新	101070901	阜新	09	辽宁	10107
彰武	101070902	阜新	09	辽宁	10107
满洲里	101081010	呼伦贝尔	10	内蒙古	10108
牙克石	101081011	呼伦贝尔	10	内蒙古	10108
扎兰屯	101081012	呼伦贝尔	10	内蒙古	10108
额尔古纳	101081014	呼伦贝尔	10	内蒙古	10108
根河	101081015	呼伦贝尔	10	内蒙古	10108
图里河	101081016	呼伦贝尔	10	内蒙古	10108
海拉尔	101081001	呼伦贝尔	10	内蒙古	10108
小二沟	101081002	呼伦贝尔	10	内蒙古	10108
阿荣旗	101081003	呼伦贝尔	10	内蒙古	10108
莫力达瓦	101081004	呼伦贝尔	10	内蒙古	10108
鄂伦春旗	101081005	呼伦贝尔	10	内蒙古	10108
鄂温克旗	101081006	呼伦贝尔	10	内蒙古	10108
陈旗	101081007	呼伦贝尔	10	内蒙古	10108
新左旗	101081008	呼伦贝尔	10	内蒙古	10108
新右旗	101081009	呼伦贝尔	10	内蒙古	10108
乌兰浩特	101081101	兴安盟	11	内蒙古	10108
阿尔山	101081102	兴安盟	11	内蒙古	10108
科右中旗	101081103	兴安盟	11	内蒙古	10108
胡尔勒	101081104	兴安盟	11	内蒙古	10108
扎赉特	101081105	兴安盟	11	内蒙古	10108
索伦	101081106	兴安盟	11	内蒙古	10108
突泉	101081107	兴安盟	11	内蒙古	10108
科右前旗	101081109	兴安盟	11	内蒙古	10108
雅布赖	101081210	阿拉善盟	12	内蒙古	10108
乌斯泰	101081211	阿拉善盟	12	内蒙古	10108
孪井滩	101081212	阿拉善盟	12	内蒙古	10108
阿左旗	101081201	阿拉善盟	12	内蒙古	10108
阿右旗	101081202	阿拉善盟	12	内蒙古	10108
额济纳	101081203	阿拉善盟	12	内蒙古	10108
拐子湖	101081204	阿拉善盟	12	内蒙古	10108
吉兰太	101081205	阿拉善盟	12	内蒙古	10108
锡林高勒	101081206	阿拉善盟	12	内蒙古	10108
头道湖	101081207	阿拉善盟	12	内蒙古	10108
中泉子	101081208	阿拉善盟	12	内蒙古	10108
诺尔公	101081209	阿拉善盟	12	内蒙古	10108
呼和浩特	101080101	呼和浩特	01	内蒙古	10108
土左旗	101080102	呼和浩特	01	内蒙古	10108
托县	101080103	呼和浩特	01	内蒙古	10108
和林	101080104	呼和浩特	01	内蒙古	10108
清水河	101080105	呼和浩特	01	内蒙古	10108
呼市郊区	101080106	呼和浩特	01	内蒙古	10108
武川	101080107	呼和浩特	01	内蒙古	10108
包头	101080201	包头	02	内蒙古	10108
白云鄂博	101080202	包头	02	内蒙古	10108
满都拉	101080203	包头	02	内蒙古	10108
土右旗	101080204	包头	02	内蒙古	10108
固阳	101080205	包头	02	内蒙古	10108
达茂旗	101080206	包头	02	内蒙古	10108
希拉穆仁	101080207	包头	02	内蒙古	10108
乌海	101080301	乌海	03	内蒙古	10108
察右后旗	101080410	乌兰察布	04	内蒙古	10108
四子王旗	101080411	乌兰察布	04	内蒙古	10108
丰镇	101080412	乌兰察布	04	内蒙古	10108
集宁	101080401	乌兰察布	04	内蒙古	10108
卓资	101080402	乌兰察布	04	内蒙古	10108
化德	101080403	乌兰察布	04	内蒙古	10108
商都	101080404	乌兰察布	04	内蒙古	10108
兴和	101080406	乌兰察布	04	内蒙古	10108
凉城	101080407	乌兰察布	04	内蒙古	10108
察右前旗	101080408	乌兰察布	04	内蒙古	10108
察右中旗	101080409	乌兰察布	04	内蒙古	10108
高力板	101080510	通辽	05	内蒙古	10108
巴雅尔吐胡硕	101080511	通辽	05	内蒙古	10108
通辽	101080501	通辽	05	内蒙古	10108
舍伯吐	101080502	通辽	05	内蒙古	10108
科左中旗	101080503	通辽	05	内蒙古	10108
科左后旗	101080504	通辽	05	内蒙古	10108
青龙山	101080505	通辽	05	内蒙古	10108
开鲁	101080506	通辽	05	内蒙古	10108
库伦	101080507	通辽	05	内蒙古	10108
奈曼	101080508	通辽	05	内蒙古	10108
扎鲁特	101080509	通辽	05	内蒙古	10108
岗子	101080610	赤峰	06	内蒙古	10108
喀喇沁	101080611	赤峰	06	内蒙古	10108
八里罕	101080612	赤峰	06	内蒙古	10108
宁城	101080613	赤峰	06	内蒙古	10108
敖汉	101080614	赤峰	06	内蒙古	10108
宝国吐	101080615	赤峰	06	内蒙古	10108
赤峰	101080601	赤峰	06	内蒙古	10108
阿鲁旗	101080603	赤峰	06	内蒙古	10108
浩尔吐	101080604	赤峰	06	内蒙古	10108
巴林左旗	101080605	赤峰	06	内蒙古	10108
巴林右旗	101080606	赤峰	06	内蒙古	10108
林西	101080607	赤峰	06	内蒙古	10108
克什克腾	101080608	赤峰	06	内蒙古	10108
翁牛特	101080609	赤峰	06	内蒙古	10108
乌审旗	101080710	鄂尔多斯	07	内蒙古	10108
伊金霍洛	101080711	鄂尔多斯	07	内蒙古	10108
乌审召	101080712	鄂尔多斯	07	内蒙古	10108
东胜	101080713	鄂尔多斯	07	内蒙古	10108
鄂尔多斯	101080701	鄂尔多斯	07	内蒙古	10108
达拉特	101080703	鄂尔多斯	07	内蒙古	10108
准格尔	101080704	鄂尔多斯	07	内蒙古	10108
鄂前旗	101080705	鄂尔多斯	07	内蒙古	10108
河南	101080706	鄂尔多斯	07	内蒙古	10108
伊克乌素	101080707	鄂尔多斯	07	内蒙古	10108
鄂托克	101080708	鄂尔多斯	07	内蒙古	10108
杭锦旗	101080709	鄂尔多斯	07	内蒙古	10108
杭锦后旗	101080810	巴彦淖尔	08	内蒙古	10108
临河	101080801	巴彦淖尔	08	内蒙古	10108
五原	101080802	巴彦淖尔	08	内蒙古	10108
磴口	101080803	巴彦淖尔	08	内蒙古	10108
乌前旗	101080804	巴彦淖尔	08	内蒙古	10108
大佘太	101080805	巴彦淖尔	08	内蒙古	10108
乌中旗	101080806	巴彦淖尔	08	内蒙古	10108
乌后旗	101080807	巴彦淖尔	08	内蒙古	10108
海力素	101080808	巴彦淖尔	08	内蒙古	10108
那仁宝力格	101080809	巴彦淖尔	08	内蒙古	10108
西乌旗	101080910	锡林郭勒	09	内蒙古	10108
太仆寺	101080911	锡林郭勒	09	内蒙古	10108
镶黄旗	101080912	锡林郭勒	09	内蒙古	10108
正镶白旗	101080913	锡林郭勒	09	内蒙古	10108
正兰旗	101080914	锡林郭勒	09	内蒙古	10108
多伦	101080915	锡林郭勒	09	内蒙古	10108
博克图	101080916	锡林郭勒	09	内蒙古	10108
乌拉盖	101080917	锡林郭勒	09	内蒙古	10108
锡林浩特	101080901	锡林郭勒	09	内蒙古	10108
二连浩特	101080903	锡林郭勒	09	内蒙古	10108
阿巴嘎	101080904	锡林郭勒	09	内蒙古	10108
苏左旗	101080906	锡林郭勒	09	内蒙古	10108
苏右旗	101080907	锡林郭勒	09	内蒙古	10108
朱日和	101080908	锡林郭勒	09	内蒙古	10108
东乌旗	101080909	锡林郭勒	09	内蒙古	10108
邱县	101091010	邯郸	10	河北	10109
鸡泽	101091011	邯郸	10	河北	10109
广平	101091012	邯郸	10	河北	10109
馆陶	101091013	邯郸	10	河北	10109
魏县	101091014	邯郸	10	河北	10109
曲周	101091015	邯郸	10	河北	10109
武安	101091016	邯郸	10	河北	10109
邯郸	101091001	邯郸	10	河北	10109
峰峰	101091002	邯郸	10	河北	10109
临漳	101091003	邯郸	10	河北	10109
成安	101091004	邯郸	10	河北	10109
大名	101091005	邯郸	10	河北	10109
涉县	101091006	邯郸	10	河北	10109
磁县	101091007	邯郸	10	河北	10109
肥乡	101091008	邯郸	10	河北	10109
永年	101091009	邯郸	10	河北	10109
秦皇岛	101091101	秦皇岛	11	河北	10109
青龙	101091102	秦皇岛	11	河北	10109
昌黎	101091103	秦皇岛	11	河北	10109
抚宁	101091104	秦皇岛	11	河北	10109
卢龙	101091105	秦皇岛	11	河北	10109
北戴河	101091106	秦皇岛	11	河北	10109
无极	101090110	石家庄	01	河北	10109
平山	101090111	石家庄	01	河北	10109
元氏	101090112	石家庄	01	河北	10109
赵县	101090113	石家庄	01	河北	10109
辛集	101090114	石家庄	01	河北	10109
藁城	101090115	石家庄	01	河北	10109
晋州	101090116	石家庄	01	河北	10109
新乐	101090117	石家庄	01	河北	10109
鹿泉	101090118	石家庄	01	河北	10109
石家庄	101090101	石家庄	01	河北	10109
井陉	101090102	石家庄	01	河北	10109
正定	101090103	石家庄	01	河北	10109
栾城	101090104	石家庄	01	河北	10109
行唐	101090105	石家庄	01	河北	10109
灵寿	101090106	石家庄	01	河北	10109
高邑	101090107	石家庄	01	河北	10109
深泽	101090108	石家庄	01	河北	10109
赞皇	101090109	石家庄	01	河北	10109
望都	101090210	保定	02	河北	10109
安新	101090211	保定	02	河北	10109
易县	101090212	保定	02	河北	10109
曲阳	101090214	保定	02	河北	10109
蠡县	101090215	保定	02	河北	10109
顺平	101090216	保定	02	河北	10109
雄县	101090217	保定	02	河北	10109
涿州	101090218	保定	02	河北	10109
定州	101090219	保定	02	河北	10109
安国	101090220	保定	02	河北	10109
高碑店	101090221	保定	02	河北	10109
涞水	101090222	保定	02	河北	10109
定兴	101090223	保定	02	河北	10109
清苑	101090224	保定	02	河北	10109
博野	101090225	保定	02	河北	10109
保定	101090201	保定	02	河北	10109
满城	101090202	保定	02	河北	10109
阜平	101090203	保定	02	河北	10109
徐水	101090204	保定	02	河北	10109
唐县	101090205	保定	02	河北	10109
高阳	101090206	保定	02	河北	10109
容城	101090207	保定	02	河北	10109
涞源	101090209	保定	02	河北	10109
万全	101090310	张家口	03	河北	10109
怀来	101090311	张家口	03	河北	10109
涿鹿	101090312	张家口	03	河北	10109
赤城	101090313	张家口	03	河北	10109
崇礼	101090314	张家口	03	河北	10109
张家口	101090301	张家口	03	河北	10109
宣化	101090302	张家口	03	河北	10109
张北	101090303	张家口	03	河北	10109
康保	101090304	张家口	03	河北	10109
沽源	101090305	张家口	03	河北	10109
尚义	101090306	张家口	03	河北	10109
蔚县	101090307	张家口	03	河北	10109
阳原	101090308	张家口	03	河北	10109
怀安	101090309	张家口	03	河北	10109
围场	101090410	承德	04	河北	10109
承德	101090402	承德	04	河北	10109
承德县	101090403	承德	04	河北	10109
兴隆	101090404	承德	04	河北	10109
平泉	101090405	承德	04	河北	10109
滦平	101090406	承德	04	河北	10109
隆化	101090407	承德	04	河北	10109
丰宁	101090408	承德	04	河北	10109
宽城	101090409	承德	04	河北	10109
遵化	101090510	唐山	05	河北	10109
迁安	101090511	唐山	05	河北	10109
曹妃甸	101090512	唐山	05	河北	10109
唐山	101090501	唐山	05	河北	10109
丰南	101090502	唐山	05	河北	10109
丰润	101090503	唐山	05	河北	10109
滦县	101090504	唐山	05	河北	10109
滦南	101090505	唐山	05	河北	10109
乐亭	101090506	唐山	05	河北	10109
迁西	101090507	唐山	05	河北	10109
玉田	101090508	唐山	05	河北	10109
唐海	101090509	唐山	05	河北	10109
廊坊	101090601	廊坊	06	河北	10109
固安	101090602	廊坊	06	河北	10109
永清	101090603	廊坊	06	河北	10109
香河	101090604	廊坊	06	河北	10109
大城	101090605	廊坊	06	河北	10109
文安	101090606	廊坊	06	河北	10109
大厂	101090607	廊坊	06	河北	10109
霸州	101090608	廊坊	06	河北	10109
三河	101090609	廊坊	06	河北	10109
孟村	101090710	沧州	07	河北	10109
泊头	101090711	沧州	07	河北	10109
任丘	101090712	沧州	07	河北	10109
黄骅	101090713	沧州	07	河北	10109
河间	101090714	沧州	07	河北	10109
沧县	101090716	沧州	07	河北	10109
沧州	101090701	沧州	07	河北	10109
青县	101090702	沧州	07	河北	10109
东光	101090703	沧州	07	河北	10109
海兴	101090704	沧州	07	河北	10109
盐山	101090705	沧州	07	河北	10109
肃宁	101090706	沧州	07	河北	10109
南皮	101090707	沧州	07	河北	10109
吴桥	101090708	沧州	07	河北	10109
献县	101090709	沧州	07	河北	10109
